rGA:n2-Pc1-Pm0.01,rGA:n2-Pc0.9-Pm0.01,rGA:n2-Pc0.5-Pm0.01,rGA:n2-Pc0.1-Pm0.01,rGA:n2-Pc0-Pm0.01
42.6534,53.0338,55.2275,58.4339,58.1748
42.4955,51.9887,55.1226,57.8962,57.7125
42.4092,50.3815,53.5762,57.1734,56.3749
42.3503,49.9108,53.5762,55.2251,56.1267
42.3503,49.3976,53.5753,54.7918,55.4765
40.8792,49.3976,52.3198,53.7807,52.8738
40.8664,48.7073,51.9914,53.4819,50.9179
40.7414,48.4233,51.6979,52.7662,49.1345
40.7403,48.147,51.208,52.405,48.5111
40.3051,47.8991,51.0489,51.0501,48.1661
40.2668,47.6839,51.0489,50.3528,47.6904
40.1167,47.3388,51.04600000000001,50.0898,47.3979
40.0575,47.3388,48.3488,49.0248,47.3979
39.9387,47.3388,47.7894,48.3989,47.208
39.8582,46.4918,47.6857,47.3175,46.1443
39.5346,44.246,47.3869,46.2918,46.0447
39.5346,43.7533,47.2551,46.2101,45.9456
39.2718,43.6224,44.9436,46.2101,43.7586
37.2724,42.3163,44.7687,45.677,43.4011
37.1611,42.168,42.961000000000006,45.5858,43.2
34.2587,39.8161,42.8188,44.8898,42.1511
34.1674,39.7417,42.8188,44.5049,41.4407
34.0372,39.2549,42.0412,44.3498,40.7953
33.9713,39.2521,42.0412,44.2548,40.1963
33.7566,39.2491,42.0209,43.145,39.6976
32.8546,39.079,41.9233,42.3749,38.5725
32.5788,38.2336,41.8641,42.351000000000006,38.3555
32.4275,37.0405,41.778999999999996,42.351000000000006,38.1994
32.1762,36.8595,41.0999,42.351000000000006,38.1405
31.9749,36.6606,41.0587,42.351000000000006,38.1373
31.9749,36.3959,40.1239,42.3183,37.6964
31.7066,35.4837,39.966,41.9049,37.2192
31.4574,35.3441,39.7329,41.9049,37.0295
30.9013,34.823,39.417,39.742,36.4519
30.9013,34.7168,38.4177,39.4717,36.4486
30.5256,34.2987,37.9945,38.7928,36.239000000000004
30.2629,34.2261,37.4009,38.7928,36.239000000000004
30.0966,33.6856,37.4009,38.6524,35.939
29.4589,33.5478,36.4435,38.6356,35.4809
29.3467,29.5465,36.4249,38.6315,34.5881
29.2907,29.244,35.7501,38.2036,34.5881
29.2575,29.159000000000002,35.7501,37.3099,34.1987
29.0848,29.076999999999998,35.7283,37.1452,34.0674
