rGA-whole,2464.2, 2230.05, 1973.61, 1741.99, 1533.33, 1331.85, 1201.91, 1085.79, 935.615, 796.647, 692.546, 631.383, 565.896, 483.434, 403.821, 365.495, 327.561, 300.325, 266.363, 247.087, 218.928, 201.23, 180.796, 171.634, 153.464, 136.947, 126.79, 118.222, 115.117, 107.547, 103.388, 99.365, 92.8927, 89.2066, 84.9272, 80.5938, 75.5648, 70.4042, 66.032, 64.0295, 61.3863, 59.4921, 56.6523, 52.6919, 49.6889, 47.5149, 46.2386, 43.5058, 42.6685, 39.352, 38.7424, 37.6442, 35.8869, 33.2839, 32.6262, 31.6995, 30.7743, 29.826, 27.9394, 27.3328, 26.7045, 25.7543, 25.3011, 24.2838, 23.2024, 22.7222, 21.8045, 20.7419, 20.4962, 20.2024, 19.1393, 18.9507, 17.9879, 17.5825, 17.34, 17.1274, 16.3901, 16.3061, 15.6167, 15.4055, 14.7849, 14.0364, 13.7857, 13.7072, 13.5735, 13.0316, 12.7777, 12.3335, 12.0125, 11.518, 10.9108, 10.7625, 10.5885, 10.3548, 10.2005, 9.72535, 9.46179, 9.41129, 9.40542, 9.23729, 9.20326, 8.88484, 8.6955, 8.66309, 8.53592, 8.40788, 8.20635, 7.92809, 7.78331, 7.54645, 7.50421, 7.14289, 7.08319, 6.94814, 6.77354, 6.67417, 6.57365, 6.30421, 6.2472, 6.10332, 5.803, 5.63846, 5.51788, 5.47725, 5.43045, 5.34624, 5.33235, 5.24405, 5.12746, 5.10591, 5.07187, 5.03628, 4.96414, 4.78455, 4.75427, 4.65482, 4.49524, 4.35017, 4.01454, 4.01226, 3.97866, 3.95, 3.8267, 3.81433, 3.73749, 3.67968, 3.52968, 3.52968, 3.49665, 3.45207, 3.3183, 3.30485, 3.25383, 3.18029, 3.17605, 3.11521, 3.09511, 3.06973, 3.01898, 2.99, 2.96584, 2.94372, 2.91561, 2.84688, 2.84673, 2.79835, 2.78623, 2.69247, 2.64186, 2.62311, 2.62195, 2.60676, 2.57445, 2.57445, 2.5688, 2.5688, 2.52989, 2.52902, 2.51057, 2.50783, 2.50041, 2.49368, 2.48067, 2.46967, 2.45418, 2.42798, 2.32835, 2.32835, 2.30874, 2.30629, 2.28423, 2.28062, 2.25355, 2.2357, 2.21637, 2.21254, 2.20183, 2.12878, 2.12822, 2.12296, 2.11539, 2.04508, 2.03634, 2.02682, 2.01387, 1.97171, 1.95938, 1.89427, 1.79776, 1.78669, 1.78296, 1.75887, 1.74439, 1.71731, 1.69709, 1.69709, 1.68227, 1.64926, 1.63507, 1.54498, 1.5259, 1.5167, 1.5167, 1.4538, 1.42954, 1.39009, 1.36093, 1.31145, 1.29408, 1.29408, 1.26396, 1.25816, 1.25816, 1.23141, 1.2304, 1.23019, 1.19856, 1.1633, 1.15953, 1.15742, 1.15742, 1.1558, 1.1558, 1.1558, 1.1539, 1.14547, 1.14547, 1.08441, 1.07892, 1.07288, 1.07177, 1.07177, 1.04588, 1.03943, 1.03692, 1.01328, 1.01328, 0.973551, 0.958759, 0.931125, 0.927245, 0.927245, 0.927245, 0.924646, 0.912334, 0.908672, 0.90735, 0.904354, 0.904116, 0.904116, 0.900472, 0.900472, 0.885208, 0.885208, 0.885208, 0.883645, 0.883645, 0.883645, 0.87175, 0.871256, 0.860564, 0.857844, 0.857844, 0.834903, 0.834903, 0.820391, 0.813017, 0.813017, 0.800633, 0.775717, 0.750365, 0.750365, 0.747906, 0.743338, 0.723395, 0.722932, 0.722932, 0.71316, 0.709786, 0.709786, 0.705197, 0.703034, 0.702568, 0.702568, 0.694379, 0.692666, 0.692666, 0.69052, 0.68719, 0.68719, 0.684616, 0.664366, 0.661515, 0.661515, 0.66039, 0.66039, 0.660361, 0.660361, 0.65187, 0.645983, 0.644486, 0.642973, 0.635967, 0.635967, 0.635655, 0.63422, 0.634028, 0.628898, 0.618041, 0.609797, 0.60868, 0.608554, 0.605747, 0.59656, 0.593288, 0.591057, 0.588673, 0.588673, 0.587742, 0.58638, 0.58638, 0.582393, 0.551364, 0.540431, 0.538025, 0.538025, 0.52479, 0.52479, 0.523832, 0.510037, 0.510037, 0.503594, 0.503225, 0.503225, 0.502743, 0.500575, 0.500575, 0.498302, 0.491213, 0.49098, 0.49098, 0.49098, 0.49098, 0.49073, 0.49073, 0.47718, 0.47718, 0.476438, 0.47448, 0.47448, 0.463071, 0.462109, 0.462109, 0.459836, 0.459586, 0.459586, 0.459288, 0.457773, 0.45776, 0.45776, 0.457753, 0.457753, 0.457753, 0.443008, 0.438754, 0.438181, 0.437727, 0.428008, 0.427173, 0.427173, 0.427173, 0.427173, 0.427173, 0.427173, 0.426636, 0.425228, 0.423126, 0.422694, 0.422694, 0.416083, 0.404198, 0.403696, 0.403696, 0.403696, 0.403696, 0.400201, 0.400201, 0.400201, 0.400201, 0.400201, 0.399459, 0.399067, 0.399067, 0.394364, 0.392905, 0.390852, 0.389669, 0.364533, 0.363319, 0.363319, 0.359909, 0.359198, 0.359198, 0.356735, 0.354301, 0.353168, 0.352671, 0.352671, 0.351425, 0.350284, 0.348672, 0.343025, 0.340344, 0.336815, 0.336815, 0.336365, 0.336292, 0.336292, 0.336292, 0.332321, 0.332235, 0.33207, 0.332051, 0.332051, 0.331623, 0.330027, 0.329941, 0.328399, 0.328399, 0.324397, 0.324397, 0.324378, 0.32435, 0.32435, 0.318493, 0.31797, 0.31797, 0.315889, 0.315889, 0.315889, 0.315889, 0.315889, 0.315889, 0.315889, 0.315889, 0.313731, 0.313731, 0.313731, 0.313731, 0.313731, 0.312826, 0.312826, 0.312441, 0.312441, 0.312441, 0.312441, 0.312441, 0.312441, 0.303586, 0.303586, 0.303586, 0.303573, 0.302363, 0.302363, 0.302363, 0.302363, 0.300787, 0.300732, 0.300732, 0.294874, 0.29483, 0.29483, 0.289896, 0.289896, 0.278314, 0.275817, 0.275648, 0.275648, 0.274276, 0.271867, 
rGA-uniform,2444.7, 2197.92, 1940.58, 1646.13, 1477.28, 1296.63, 1142.72, 1021.21, 902.406, 807.331, 683.245, 605.933, 532.694, 466.414, 410.301, 364.161, 333.372, 305.742, 276.781, 258.487, 240.108, 221.619, 209.194, 188.783, 173.386, 165.451, 154.767, 143.651, 134.326, 129.518, 120.853, 111.253, 107.908, 104.33, 94.2265, 88.9806, 84.5889, 82.7489, 78.7839, 74.9851, 69.6742, 66.2038, 61.7119, 59.4444, 58.7205, 54.7224, 52.973, 50.537, 49.5964, 48.6943, 47.391, 43.6818, 42.8383, 41.6297, 39.6838, 38.2795, 37.5789, 37.1535, 33.0128, 31.2683, 30.1017, 28.6088, 27.3474, 26.8434, 26.3294, 25.6245, 24.9244, 24.2296, 22.8653, 22.2385, 21.3058, 20.7738, 20.2698, 19.9049, 19.2229, 18.7155, 18.4923, 18.0594, 17.8743, 17.6189, 17.3669, 16.5681, 16.1532, 15.9375, 15.7522, 15.4731, 14.9914, 14.53, 14.3738, 13.9298, 13.6305, 13.494, 13.0669, 12.5633, 11.9994, 11.4587, 10.9889, 10.8586, 10.7205, 10.718, 10.4778, 10.3387, 10.2448, 9.98097, 9.90573, 9.53492, 9.10985, 9.08745, 8.94668, 8.85322, 8.77521, 8.62107, 8.41538, 8.18369, 8.03356, 7.93868, 7.46551, 7.28987, 7.27681, 7.23235, 7.09885, 6.89479, 6.79457, 6.63639, 6.42073, 6.07459, 5.6141, 5.53417, 5.45888, 5.05733, 5.01861, 5.01303, 4.93949, 4.80436, 4.7842, 4.76837, 4.71856, 4.61449, 4.56267, 4.46101, 4.46101, 4.45266, 4.4511, 4.26035, 3.95745, 3.91338, 3.90005, 3.87234, 3.81798, 3.76622, 3.75548, 3.75242, 3.72693, 3.69983, 3.68845, 3.66092, 3.57847, 3.57585, 3.50399, 3.50254, 3.42515, 3.39224, 3.36138, 3.31505, 3.2542, 3.13168, 3.06247, 3.04789, 3.00036, 2.94889, 2.93727, 2.93487, 2.85635, 2.83874, 2.81853, 2.80824, 2.79601, 2.6829, 2.68041, 2.66307, 2.63313, 2.52961, 2.45713, 2.45713, 2.45713, 2.44717, 2.39848, 2.3814, 2.3626, 2.27024, 2.23588, 2.22265, 2.22265, 2.18904, 2.15853, 2.12118, 2.08056, 2.07472, 2.05813, 2.02937, 2.01668, 2.01393, 1.89053, 1.85736, 1.85736, 1.80445, 1.80274, 1.79535, 1.76512, 1.75912, 1.75546, 1.72119, 1.72074, 1.70807, 1.69778, 1.69778, 1.69756, 1.64501, 1.59983, 1.59983, 1.58478, 1.53789, 1.53147, 1.5304, 1.51097, 1.50556, 1.47496, 1.45057, 1.3874, 1.37847, 1.37847, 1.37293, 1.3665, 1.3665, 1.35705, 1.35638, 1.356, 1.33766, 1.299, 1.2777, 1.26204, 1.25241, 1.25198, 1.21502, 1.20991, 1.13507, 1.12508, 1.12508, 1.09843, 1.08595, 1.08569, 1.06877, 1.06877, 1.00442, 1.00331, 1.00331, 1.00296, 0.999742, 0.955095, 0.950053, 0.949953, 0.944747, 0.902401, 0.895146, 0.89435, 0.894173, 0.892826, 0.885151, 0.882389, 0.872873, 0.872873, 0.869174, 0.869174, 0.868432, 0.865789, 0.855687, 0.85486, 0.848179, 0.829417, 0.821998, 0.821998, 0.813615, 0.8134, 0.812529, 0.796086, 0.72121, 0.714118, 0.714118, 0.70336, 0.703145, 0.702403, 0.702403, 0.702403, 0.683973, 0.683973, 0.683973, 0.683973, 0.67198, 0.661757, 0.656855, 0.655066, 0.648338, 0.635386, 0.632321, 0.622419, 0.622419, 0.622419, 0.622419, 0.622419, 0.62181, 0.612579, 0.612324, 0.612267, 0.612267, 0.612267, 0.612267, 0.611484, 0.610517, 0.608405, 0.608405, 0.608405, 0.608405, 0.608405, 0.608153, 0.60804, 0.606936, 0.603532, 0.602433, 0.592273, 0.580539, 0.580225, 0.580225, 0.576441, 0.570757, 0.568331, 0.568329, 0.558145, 0.552775, 0.552535, 0.55224, 0.55224, 0.551562, 0.541233, 0.541233, 0.538451, 0.529684, 0.525719, 0.525306, 0.525306, 0.51752, 0.517185, 0.514397, 0.514397, 0.511022, 0.511022, 0.511022, 0.507767, 0.507717, 0.507717, 0.488084, 0.486461, 0.486461, 0.48446, 0.480717, 0.480717, 0.480717, 0.47117, 0.469471, 0.464715, 0.464524, 0.464524, 0.440041, 0.435893, 0.433476, 0.433177, 0.428817, 0.428817, 0.426736, 0.426736, 0.426736, 0.426736, 0.425469, 0.425469, 0.418855, 0.418855, 0.418855, 0.418855, 0.417071, 0.417071, 0.417071, 0.41669, 0.41669, 0.414654, 0.404292, 0.402367, 0.402367, 0.402367, 0.402367, 0.399551, 0.399372, 0.399372, 0.399372, 0.399372, 0.399372, 0.398767, 0.398767, 0.398767, 0.397386, 0.389855, 0.389855, 0.384124, 0.383259, 0.381231, 0.381231, 0.381231, 0.380972, 0.37955, 0.379047, 0.379047, 0.378349, 0.378198, 0.3751, 0.374784, 0.374784, 0.374784, 0.37293, 0.372366, 0.357606, 0.357106, 0.353946, 0.353946, 0.347276, 0.344405, 0.343311, 0.343311, 0.339861, 0.339861, 0.339861, 0.33524, 0.334032, 0.33074, 0.33057, 0.329539, 0.324946, 0.323771, 0.323203, 0.318962, 0.318962, 0.318653, 0.318653, 0.318653, 0.318653, 0.314518, 0.314518, 0.314518, 0.314518, 0.312687, 0.311192, 0.310176, 0.306457, 0.306457, 0.306457, 0.306457, 0.304309, 0.300491, 0.293454, 0.291562, 0.291562, 0.291562, 0.291323, 0.291323, 0.289963, 0.270384, 0.270384, 0.270384, 0.270063, 0.270063, 0.270063, 0.26993, 0.268129, 0.261239, 0.261239, 0.261239, 0.261239, 0.261239, 0.261239, 0.261239, 0.261239, 0.261239, 0.260792, 0.260792, 0.259435, 0.259435, 0.25911, 0.25911, 0.258558, 0.258558, 0.258558, 0.258558, 0.258558, 
bGA-2pt,2511.88,2200.67,1979.1,1768.62,1605.13,1347.19,1189.95,1081.91,932.29,808.794,726.366,646.183,549.813,500.824,441.168,403.496,360.415,311.986,282.907,258.228,235.256,219.817,198.329,185.581,170.607,161.668,153.37,143.721,139.031,132.334,129.008,125.845,122.828,121.123,118.152,116.682,115.471,113.993,112.857,111.598,110.518,109.409,108.757,108.275,107.063,106.368,106.041,105.414,105.235,103.729,103.482,103.218,102.94,102.725,102.533,102.07,100.641,100.477,100.424,100.347,100.314,100.22,100.174,100.1,100.049,100.01,99.9663,99.9366,99.8924,99.8506,99.8214,99.8051,99.7917,99.7804,99.7436,99.7267,99.6915,99.6634,99.6399,99.6194,99.5694,99.5644,99.544,99.5008,99.4919,99.4919,99.4919,99.4722,99.4525,99.434,99.434,99.4301,99.4301,99.4301,99.4296,99.4088,99.4049,99.3931,99.3929,99.3503,99.3497,99.2953,99.2948,99.2864,99.2864,99.2864,99.2522,99.2364,99.2364,99.2325,99.2325,99.2319,99.2319,99.228,99.228,99.228,99.1893,99.1893,99.1893,99.1893,99.1888,99.1888,99.1849,99.173,99.173,99.1383,99.1383,99.1265,99.1248,99.1125,99.1125,99.0665,99.0625,99.062,99.0575,99.0575,99.0536,99.0529,99.0203,98.9856,98.9856,98.9817,97.776,97.776,97.2221,97.2176,97.2176,97.2176,96.5738,96.5738,96.3638,96.3599,96.3599,96.3146,96.3146,96.3059,96.2355,96.2273,96.2273,96.2273,96.1733,96.1733,96.1186,96.1186,96.1186,96.1186,96.1186,96.1186,96.1186,96.1184,96.1184,96.1145,96.1145,96.1026,96.0903,96.0556,96.0556,96.0438,96.0438,96.0438,96.0275,96.0275,96.0225,96.0225,96.0225,96.0185,96.0185,96.0185,96.0185,96.0185,96.0185,94.8166,94.8166,94.8166,94.8166,94.8087,93.5261,93.5143,93.5143,93.5143,93.5143,93.5143,93.5143,93.3447,93.2773,93.1067,93.1062,93.0727,93.0397,93.0397,93.0027,93.0027,93.0027,92.9987,92.9987,92.9987,92.9987,92.9987,92.9987,92.9987,92.9987,92.9987,92.9987,92.9522,92.9522,92.9522,92.8203,92.8158,92.8158,92.8158,92.8158,92.8158,92.8158,92.8108,92.8108,92.8108,92.7945,89.9026,89.9026,89.9026,89.9026,89.9026,89.8378,89.8361,89.8361,89.8361,89.803,89.803,89.803,89.803,89.803,89.803,89.7991,89.7991,89.7991,89.7991,89.7991,89.7991,89.7991,89.7991,89.7991,89.7991,89.7991,89.7991,87.4808,87.4808,87.4808,87.4808,87.4808,87.4808,87.4685,87.4645,87.4645,87.0883,87.072,86.8698,86.083,86.083,86.083,86.083,86.083,86.083,85.9377,85.9377,85.9377,85.8716,85.8716,85.8716,85.835,85.835,85.835,85.8339,85.8176,85.8176,85.8176,85.8176,85.8176,85.8176,85.8176,85.8053,85.8053,85.8053,85.8053,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.8013,85.7997,85.7997,85.7997,85.7997,85.7997,85.7997,85.7997,85.779,85.779,85.7711,85.7711,85.7711,85.7671,85.7553,85.7553,85.7553,85.7553,85.7553,85.7548,85.7541,85.7541,85.7541,85.7541,85.7541,85.7501,85.7501,85.7501,85.7501,85.7501,85.7501,85.7501,85.7501,85.7501,85.7501,85.7501,85.7501,85.7501,85.7501,85.7501,85.7501,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7462,85.7344,85.7344,85.7344,85.7344,85.7344,85.7344,85.7344,85.7338,85.7338,85.7338,85.7338,85.7338,85.7338,85.7338,85.7338,85.7338,85.7299,85.7299,85.7299,83.4116,
bGA-uniform,2453.38,2282.47,2127.79,1958.08,1853.09,1735.85,1627.1,1503.35,1389.18,1333.33,1251.74,1174.38,1128.65,1078.08,1022.92,951.416,899.927,869.102,821.002,787.541,749.982,707.952,681.37,656.005,635.866,617.099,593.963,570.779,555.985,542.195,533.604,523.165,508.661,498.098,487.16,482.663,474.733,467.752,462.089,456.22,450.492,447.014,444.048,434.702,431.428,427.772,424.523,421.396,419.92,417.723,414.181,412.512,411.536,407.274,405.392,400.918,399.622,396.783,395.605,394.77,391.949,391.529,391.27,391.003,390.694,390.332,390.168,389.86,389.609,386.677,386.536,381.842,381.519,381.377,380.383,377.409,376.536,376.178,376.1,372.73,370.813,369.905,369.729,369.284,364.974,363.057,363.04,362.962,362.702,359.9,359.652,359.607,356.455,355.248,355.247,355.183,354.347,352.693,352.273,351.517,350.558,349.876,349.86,349.821,349.807,349.806,349.666,349.645,349.626,349.609,349.602,348.728,348.663,348.636,348.636,348.599,348.595,348.567,348.551,348.542,348.518,348.518,348.517,348.513,348.513,348.513,348.513,348.501,347.299,347.299,347.299,347.27,344.839,344.839,344.803,344.802,341.992,341.631,339.936,339.936,339.933,339.101,338.513,337.167,337.138,337.12,337.058,337.021,336.501,336.501,336.435,336.338,336.338,336.334,336.33,336.108,336.031,336.029,336.029,336.028,335.93,334.535,334.535,334.535,333.324,333.324,332.825,332.692,331.428,331.186,330.417,330.324,330.324,327.73,327.718,327.704,327.547,325.092,325.035,325.035,324.91,324.714,324.713,324.713,324.701,324.693,324.692,324.684,324.684,324.684,324.683,324.671,324.16,324.156,324.156,324.147,324.147,324.111,324.111,324.079,324.079,323.861,323.861,323.849,323.623,322.418,322.418,322.418,322.418,322.414,321.806,321.805,321.317,321.317,321.131,321.131,320.951,320.951,320.719,320.719,320.719,320.654,320.654,320.654,320.65,320.613,320.613,320.613,320.485,320.485,320.167,320.167,319.374,319.374,318.783,318.771,318.283,318.238,317.917,317.917,317.917,317.851,317.779,317.779,317.779,317.725,317.704,317.704,317.704,317.704,317.704,317.688,317.688,317.688,317.688,317.688,317.688,317.688,317.688,317.676,317.676,317.676,317.676,317.676,317.676,317.676,317.676,317.676,317.676,317.676,317.676,317.676,315.15,312.509,312.509,311.992,311.531,311.272,309.322,307.259,307.259,307.217,307.217,307.162,307.162,307.162,304.447,304.447,304.405,304.405,302.057,302.053,301.92,301.635,301.635,301.635,301.503,301.503,301.503,301.502,301.502,301.502,301.502,301.502,301.485,301.485,301.485,301.485,301.485,301.485,301.485,301.485,301.485,301.485,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.481,301.48,301.48,301.48,301.48,301.48,301.48,301.447,301.447,301.447,301.447,301.447,301.431,301.431,301.431,301.43,301.43,301.43,301.43,301.43,301.43,298.674,298.674,298.674,296.313,296.309,296.309,296.035,296.035,296.035,295.975,295.975,295.904,295.904,295.904,295.904,295.904,295.904,295.904,295.904,295.904,295.904,295.904,295.904,295.904,295.904,295.891,295.891,295.886,295.886,295.886,295.886,295.886,295.886,295.886,295.886,295.886,295.886,295.886,295.886,295.886,295.21,295.21,295.21,295.21,295.21,295.21,295.151,293.585,293.585,293.585,293.585,292.387,292.387,292.34,291.889,291.889,290.949,290.47,290.254,290.239,290.107,289.984,289.632,289.632,289.191,289.19,289.136,289.019,289.019,289.018,289.018,289.018,288.988,288.988,288.988,288.988,288.984,288.984,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.98,288.945,288.945,288.945,288.945,288.945,288.945,288.945,288.945,288.945,288.945,288.945,288.945,288.945,288.945,288.945,286.242,286.242,286.242,286.242,286.242,286.184,285.841,285.841,283.575,283.575,283.575,
