bGA:n2-Pc0-Pm0.01,bGA:n2-Pc0-Pm0.01
2047.08,2109.23
1874.21,1947.66
1628.4,1772.48
1414.78,1597.81
1235.36,1399.63
1069.28,1215.23
921.15,1061.55
766.355,873.9830000000001
678.591,766.939
551.158,647.779
469.31199999999995,565.279
370.093,489.773
305.57,417.61300000000006
255.268,377.05199999999996
215.533,333.897
155.489,292.827
130.894,240.65599999999998
111.331,209.148
91.633,179.782
76.3651,153.482
64.8144,138.751
53.596000000000004,120.29299999999999
46.9094,103.37899999999999
40.5278,86.8598
34.2692,76.0739
30.4657,62.4508
26.831,53.1606
22.9118,47.1611
20.3299,43.3743
17.7216,38.971
15.1392,34.1271
13.7516,31.8684
11.6962,29.3839
9.49194,27.6579
8.39293,25.8829
7.595089999999999,24.6721
6.87723,23.1405
6.17738,21.8247
5.41472,20.6572
4.636769999999999,19.9414
3.91888,18.8127
3.61939,18.1208
3.23874,17.3459
2.9408,16.725
2.4992,16.2746
2.25548,15.7285
2.0482,15.5294
1.87513,15.0026
1.71324,14.612
1.5856700000000001,14.3143
1.5347,14.1085
1.36588,13.8966
1.24902,13.7991
1.1629399999999999,13.546
1.07416,13.4415
1.02657,13.3501
0.9642799999999999,13.2614
0.9054129999999999,13.162
0.841319,13.0571
0.803729,13.0294
0.761681,12.984000000000002
0.726445,12.9157
0.6996220000000001,12.8625
0.652323,12.8324
0.628157,12.773
0.607391,12.7265
0.573743,12.6815
0.571627,12.6631
0.53774,12.6471
0.52827,12.6224
0.5164449999999999,12.6011
0.507504,12.5758
0.49068,12.5635
0.48226800000000003,12.5319
0.477797,12.5162
0.46938500000000005,12.4983
0.46544399999999997,12.4775
0.461502,12.4686
0.45756,12.4596
0.457031,12.4478
0.457031,12.4439
0.457031,12.4423
0.45308999999999994,12.4344
0.45308999999999994,12.4265
0.45308999999999994,12.422
0.45308999999999994,12.4181
0.45308999999999994,12.4097
0.45308999999999994,12.4097
0.44914799999999994,12.4097
0.44914799999999994,12.3979
0.44914799999999994,12.3637
0.44914799999999994,12.3637
0.44914799999999994,12.3637
0.44914799999999994,12.3637
0.44914799999999994,12.3637
0.44914799999999994,12.3631
0.44914799999999994,12.3631
0.44914799999999994,12.3631
0.317279,12.3631
0.317279,12.3631
0.317279,12.3631
0.317279,12.3631
0.299919,12.3631
0.299919,12.3631
0.299919,12.3592
0.299919,12.3592
0.299919,12.3592
0.299919,12.3592
0.299919,12.3592
0.299919,12.3592
0.299919,12.3592
0.299919,12.3592
0.299919,12.3592
0.299919,12.3592
0.299919,12.3245
0.299919,12.3245
0.299919,12.3245
0.299919,12.3245
0.299919,12.3245
0.299919,12.3245
0.299919,12.3245
0.299919,12.3245
0.299919,12.3245
0.299919,12.3205
0.299919,12.3205
0.299919,12.3205
0.299919,12.3205
0.299919,12.3205
0.299919,12.3189
0.299919,12.3189
0.299919,12.3189
0.299919,12.3021
0.299919,12.3021
0.299919,12.3021
0.299919,12.2981
0.299919,12.2863
0.299919,12.2858
0.299919,12.2858
0.299919,12.2858
0.299919,12.2858
0.299919,12.2858
0.299919,12.2858
0.299919,12.2819
0.299919,12.2819
0.299919,12.2819
0.299919,12.2819
0.299919,12.27
0.299919,12.27
0.299919,12.2695
0.299919,12.2695
0.299919,12.2695
0.299919,12.2656
0.299919,12.2656
0.299919,12.2656
0.299919,12.2656
0.299919,12.2656
0.299919,12.2308
0.299919,12.2308
0.299919,12.2308
0.299919,12.2308
0.299919,12.2308
0.299919,12.2308
0.299919,12.2308
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
