bGA:n2-Pc0-Pm0.01,bGA:n2-Pc0-Pm0.01
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.2269
0.299919,12.1124
0.299919,12.1124
0.299919,12.1124
0.299919,12.1124
0.299919,12.1124
0.299919,12.1124
0.299919,12.1124
0.299919,12.1124
0.299919,12.1124
0.299919,12.1124
0.299919,12.1124
0.299919,12.1124
0.299919,12.1124
0.299919,12.1124
0.299919,12.099
0.299919,12.099
0.299919,12.095
0.299919,12.095
0.299919,12.095
0.299919,12.0821
0.299919,12.0821
0.299919,12.0816
0.299919,12.0816
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,12.0777
0.299919,11.9458
0.299919,11.9458
0.299919,11.9458
0.299919,11.9458
0.299919,11.9458
0.299919,11.9458
0.299919,11.9458
0.299919,11.9324
0.299919,11.9324
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.9284
0.299919,11.7966
0.299919,11.7966
0.299919,11.7966
0.299919,11.7966
0.299919,11.7966
0.299919,11.7966
0.299919,11.7966
0.299919,11.7792
0.299919,11.7792
0.299919,11.7792
0.299919,11.7792
0.299919,11.7792
0.299919,11.7792
,
