2392.83, 
2251.52, 
2042.1, 
1912.73, 
1857.59, 
1761.47, 
1674.18, 
1600.66, 
1522.11, 
1436.92, 
1395.3, 
1339.18, 
1311.54, 
1282.79, 
1248.16, 
1218.84, 
1180.75, 
1160.33, 
1102.64, 
1072.3, 
1030.02, 
999.835, 
997.343, 
966.941, 
940.585, 
922.769, 
903.061, 
895.845, 
885.557, 
848.64, 
833.522, 
807.691, 
789.267, 
772.155, 
765.101, 
747.781, 
733.506, 
733.5, 
724.568, 
698.013, 
665.093, 
654.117, 
642.413, 
636.982, 
628.424, 
620.671, 
611.968, 
596.211, 
581.756, 
581.756, 
580.034, 
573.76, 
570.01, 
566.7, 
548.279, 
535.225, 
524.871, 
518.932, 
508.749, 
508.45, 
505.79, 
500.484, 
474.131, 
472.535, 
466.488, 
459.423, 
452.823, 
434.672, 
433.172, 
433.172, 
431.323, 
425.081, 
423.782, 
409.994, 
402.603, 
393.818, 
388.096, 
370.061, 
370.061, 
369.668, 
369.668, 
365.412, 
360.985, 
360.985, 
345.995, 
341.89, 
338.858, 
334.773, 
322.548, 
310.131, 
309.97, 
303.89, 
303.89, 
297.852, 
293.843, 
291.106, 
281.707, 
281.42, 
277.715, 
271.22, 
